metric_id,display_name,metric_layer,unit,source_path,source_field,authority_source,value_classification,as_of_date,calculation_formula,producer,consumer,old_ui_consumer,new_ui_consumer,report_consumer,hardcoded,fallback,status,notes
FIN.REVENUE_Q,季度營收,RAW,億新台幣,data/2317_master_v9.csv,Revenue_Q_100M,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.GROSS_MARGIN,毛利率,RAW,%,data/2317_master_v9.csv,GrossMarginPct,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.OP_MARGIN,營業利益率,RAW,%,data/2317_master_v9.csv,OperatingMarginPct,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.EPS_Q,單季 EPS,RAW,元,data/2317_master_v9.csv,EPS_Q,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports,YES,NO,YES,NO,NONE,ACTIVE,
FIN.EPS_TTM,近十二月 EPS,RAW,元,data/2317_master_v9.csv,EPS_TTM,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.EPS_YOY,EPS 年增率,RAW,%,data/2317_master_v9.csv,EPS_YoY_Pct,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
FIN.ROE_H1,2026H1 ROE（未年化）,RAW,%,modules/p1008_research_plugin/config/quarterly_earnings/FY2026_Q2.json,canonicalPromotion.roe.value,OFFICIAL_EVIDENCE,OFFICIAL_REPORTED,2026H1_OR_2026Q2_FIELD_SPECIFIC,DIRECT,Owner-approved official Q2 packet,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,period=2026H1; annualized=false; 不得標為Q2/TTM/年化
FIN.ROIC,精確 ROIC,RAW,%,data/2317_master_v9.csv,ROIC_Precise_Pct,CSV_AUTHORITY,OWNER_CONDITIONAL_PENDING,2026Q2,NOPAT_Annual_100M/InvestedCapital_100M*100,Owner authority CSV,old UI;reports,YES,NO,YES,NO,DISABLED,INSUFFICIENT_DATA,16.46%候選未通過Gate A；ROIC_Approx_Pct不得替代
FIN.BVPS,每股淨值,RAW,元,data/2317_master_v9.csv,BVPS,CSV_AUTHORITY,AUTHORITATIVE_SOURCE_REPORTED,2026Q2,DIRECT,Owner authority CSV,daily PB reference,NO,NO,NO,NO,NONE,ACTIVE,
MKT.CLOSE,正式收盤價,RAW,元,data/2317_daily_price.csv,Close,CSV_AUTHORITY,OFFICIAL_REPORTED,2026-08-27,DIRECT,TWSE authority pipeline,old UI;reports;new UI evidence,YES,YES,YES,NO,NONE,ACTIVE,
